Portfolio WBS,Description,Quantity,UOM,BAC,BAC Rate,Final Qty (AQ),Final Cost (AC),Final Rate,PQ,PV,AQ,AC,EV,Date,Project Name,Start,End
12,Survey - As Constructed,172.0,hr,23900.0,138.95348837209303,99.0,18263.07,184.4747474747475,30.0,4168.604651162791,0.0,0.0,0.0,2012-02-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-11-01
12,Survey - As Constructed,172.0,hr,23900.0,138.95348837209303,99.0,18263.07,184.4747474747475,45.0,6252.906976744187,9.0,1634.92,2172.727272727273,2012-03-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-11-01
12,Survey - As Constructed,172.0,hr,23900.0,138.95348837209303,99.0,18263.07,184.4747474747475,60.0,8337.209302325582,9.0,1634.92,2172.727272727273,2012-04-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-11-01
12,Survey - As Constructed,172.0,hr,23900.0,138.95348837209303,99.0,18263.07,184.4747474747475,75.0,10421.511627906977,9.0,1634.92,2172.727272727273,2012-05-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-11-01
12,Survey - As Constructed,172.0,hr,23900.0,138.95348837209303,99.0,18263.07,184.4747474747475,90.0,12505.813953488374,43.0,7912.42,10380.808080808081,2012-06-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-11-01
12,Survey - As Constructed,172.0,hr,23900.0,138.95348837209303,99.0,18263.07,184.4747474747475,145.0,20148.25581395349,54.5,10091.92,13157.070707070707,2012-07-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-11-01
12,Survey - As Constructed,172.0,hr,23900.0,138.95348837209303,99.0,18263.07,184.4747474747475,172.0,23900.0,59.5,11058.92,14364.141414141413,2012-08-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-11-01
12,Survey - As Constructed,172.0,hr,23900.0,138.95348837209303,99.0,18263.07,184.4747474747475,172.0,23900.0,65.0,12071.02,15691.919191919193,2012-09-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-11-01
12,Survey - As Constructed,172.0,hr,23900.0,138.95348837209303,99.0,18263.07,184.4747474747475,172.0,23900.0,69.5,12825.67,16778.282828282827,2012-10-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-11-01
12,Survey - As Constructed,172.0,hr,23900.0,138.95348837209303,99.0,18263.07,184.4747474747475,172.0,23900.0,99.0,18263.07,23900.0,2012-11-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-11-01
13,QA Testing,1.0,item,25425.0,25425.0,1.0,27869.52,27870.0,0.1,2542.5,0.0,0.0,0.0,2011-10-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
13,QA Testing,1.0,item,25425.0,25425.0,1.0,27869.52,27870.0,0.2,5085.0,0.05,1591.54,1271.25,2011-11-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
13,QA Testing,1.0,item,25425.0,25425.0,1.0,27869.52,27870.0,0.3,7627.5,0.08,2350.81,2034.0,2011-12-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
13,QA Testing,1.0,item,25425.0,25425.0,1.0,27869.52,27870.0,0.4,10170.0,0.1,2670.9,2542.5,2012-01-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
13,QA Testing,1.0,item,25425.0,25425.0,1.0,27869.52,27870.0,0.5,12712.5,0.15,4611.7,3813.75,2012-02-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
13,QA Testing,1.0,item,25425.0,25425.0,1.0,27869.52,27870.0,0.6,15255.0,0.15,4611.7,3813.75,2012-03-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
13,QA Testing,1.0,item,25425.0,25425.0,1.0,27869.52,27870.0,0.7,17797.5,0.35,9695.78,8898.75,2012-04-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
13,QA Testing,1.0,item,25425.0,25425.0,1.0,27869.52,27870.0,0.8,20340.0,0.45,12901.68,11441.25,2012-05-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
13,QA Testing,1.0,item,25425.0,25425.0,1.0,27869.52,27870.0,0.9,22882.5,0.5,14673.95,12712.5,2012-06-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
13,QA Testing,1.0,item,25425.0,25425.0,1.0,27869.52,27870.0,1.0,25425.0,0.5,14673.95,12712.5,2012-07-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
13,QA Testing,1.0,item,25425.0,25425.0,1.0,27869.52,27870.0,1.0,25425.0,0.85,25104.7,21611.25,2012-08-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
13,QA Testing,1.0,item,25425.0,25425.0,1.0,27869.52,27870.0,1.0,25425.0,0.95,27744.07,24153.75,2012-09-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
13,QA Testing,1.0,item,25425.0,25425.0,1.0,27869.52,27870.0,1.0,25425.0,1.0,27869.52,25425.0,2012-10-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
13,QA Testing,1.0,item,25425.0,25425.0,1.0,27869.52,27870.0,1.0,25425.0,1.0,27869.52,25425.0,2012-11-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
15,Service Locations,0.0,hr,0.0,0.0,24.5,4054.9,165.51020408163265,0.0,0.0,0.0,0.0,0.0,2011-10-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-08-01
15,Service Locations,0.0,hr,0.0,0.0,24.5,4054.9,165.51020408163265,0.0,0.0,0.0,0.0,0.0,2011-11-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-08-01
15,Service Locations,0.0,hr,0.0,0.0,24.5,4054.9,165.51020408163265,0.0,0.0,0.0,0.0,0.0,2011-12-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-08-01
15,Service Locations,0.0,hr,0.0,0.0,24.5,4054.9,165.51020408163265,0.0,0.0,1.2,195.0,0.0,2012-01-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-08-01
15,Service Locations,0.0,hr,0.0,0.0,24.5,4054.9,165.51020408163265,0.0,0.0,1.2,195.0,0.0,2012-02-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-08-01
15,Service Locations,0.0,hr,0.0,0.0,24.5,4054.9,165.51020408163265,0.0,0.0,9.0,1480.0,0.0,2012-03-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-08-01
15,Service Locations,0.0,hr,0.0,0.0,24.5,4054.9,165.51020408163265,0.0,0.0,9.0,1480.0,0.0,2012-04-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-08-01
15,Service Locations,0.0,hr,0.0,0.0,24.5,4054.9,165.51020408163265,0.0,0.0,14.0,2282.5,0.0,2012-05-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-08-01
15,Service Locations,0.0,hr,0.0,0.0,24.5,4054.9,165.51020408163265,0.0,0.0,17.25,2860.0,0.0,2012-06-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-08-01
15,Service Locations,0.0,hr,0.0,0.0,24.5,4054.9,165.51020408163265,0.0,0.0,18.75,3107.5,0.0,2012-07-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-08-01
15,Service Locations,0.0,hr,0.0,0.0,24.5,4054.9,165.51020408163265,0.0,0.0,24.5,4054.9,0.0,2012-08-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-08-01
15,Service Locations,0.0,hr,0.0,0.0,24.5,4054.9,165.51020408163265,0.0,0.0,24.5,4054.9,0.0,2012-09-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-08-01
15,Service Locations,0.0,hr,0.0,0.0,24.5,4054.9,165.51020408163265,0.0,0.0,24.5,4054.9,0.0,2012-10-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-08-01
15,Service Locations,0.0,hr,0.0,0.0,24.5,4054.9,165.51020408163265,0.0,0.0,24.5,4054.9,0.0,2012-11-01,P024 - P06 Urban Road Reconstruction,2012-01-01,2012-08-01
32,Disposal offsite - Clearing waste,1.0,item,3115.0,3115.0,1.0,2535.32,2535.0,0.0,0.0,0.0,0.0,0.0,2011-10-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-10-01
32,Disposal offsite - Clearing waste,1.0,item,3115.0,3115.0,1.0,2535.32,2535.0,0.0,0.0,0.0,0.0,0.0,2011-11-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-10-01
32,Disposal offsite - Clearing waste,1.0,item,3115.0,3115.0,1.0,2535.32,2535.0,0.0,0.0,0.0,0.0,0.0,2011-12-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-10-01
32,Disposal offsite - Clearing waste,1.0,item,3115.0,3115.0,1.0,2535.32,2535.0,0.0,0.0,0.0,0.0,0.0,2012-01-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-10-01
32,Disposal offsite - Clearing waste,1.0,item,3115.0,3115.0,1.0,2535.32,2535.0,0.0,0.0,0.0,0.0,0.0,2012-02-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-10-01
