Portfolio WBS,Quantity,UOM,BAC,BAC Rate,Planned Quantity,Planned Value,Actual Cost,Month,predicted_DT,predicted_RF,predicted_LR,predicted_SVM
63,9107.0,m2,75658.85,8.31,6607.0,54889.43,14389.58,January,5183.5,20895.78,18861.0,14689.54
64,25142.0,m2,217171.38,8.64,12500.0,107972.41,112816.38,December,50751.9,71869.48,80230.57,61591.8
64,25142.0,m2,217171.38,8.64,12642.0,109198.97,62381.88,February,50751.9,72264.1,80651.12,62050.17
65,605.0,tonne,296792.99,490.57,605.0,296792.99,202459.38,February,112816.37,151263.89,187261.5,137551.75
67,1.0,item,33024.0,33024.0,1.0,33024.0,2209.45,February,14412.59,7232.89,3032.17,9446.71
68,600.0,m2,13641.07,22.74,600.0,13641.07,51538.06,June,29799.52,35239.88,47727.24,32916.47
72,11.0,each,32902.26,2991.11,11.0,32902.26,12371.18,November,13330.1,12657.56,11584.99,12259.4
81,12.2,m,31756.3,2602.98,6.1,15878.15,15915.3,November,10491.91,13303.05,15957.07,11742.0
111,157.0,m,12960.46,82.55,157.0,12960.46,2010.27,December,8981.05,8320.31,7121.09,7286.82
141,1104.0,hrs,115916.75,105.0,200.0,20999.41,12821.64,November,6137.31,12230.38,13366.05,10309.76
141,1104.0,hrs,115916.75,105.0,200.0,20999.41,10187.05,December,6137.31,10004.43,10602.24,8612.75
141,1104.0,hrs,115916.75,105.0,300.0,31499.12,11620.56,January,13119.91,11542.23,9907.84,12035.4
141,1104.0,hrs,115916.75,105.0,354.0,37168.96,16217.26,February,13119.91,17429.93,18818.87,16097.02
181,59.48,m,8767.5,147.4,40.0,5896.1,17252.13,November,9322.64,13243.59,16962.66,10926.86
901,10.0,weeks,32400.0,3240.0,2.0,6480.0,5950.0,November,4719.61,5160.83,3691.98,4702.94
902,16.0,weeks,53600.0,3350.0,7.0,23450.0,22853.12,November,29134.33,20180.07,19658.08,22819.22
902,16.0,weeks,53600.0,3350.0,3.0,10050.0,8500.0,December,11719.06,9249.44,8680.31,9781.2
902,16.0,weeks,53600.0,3350.0,3.0,10050.0,17955.13,January,11719.06,9777.64,9241.92,10170.95
902,16.0,weeks,53600.0,3350.0,1.0,3350.0,9961.15,February,5051.4,7080.12,7536.78,6356.96
903,16.0,weeks,24500.0,1531.25,2.0,3062.5,4260.94,November,5051.4,3757.06,3457.38,3902.1
903,16.0,weeks,24500.0,1531.25,3.0,4593.75,2877.0,December,5051.4,2974.22,2803.05,3168.57
903,16.0,weeks,24500.0,1531.25,4.0,6125.0,210.0,February,589.26,1282.05,954.46,906.14
905,1.0,item,5824.0,5824.0,0.25,1456.0,2021.01,November,2681.29,1528.08,917.13,1753.95
905,1.0,item,5824.0,5824.0,0.25,1456.0,771.45,December,409.36,654.95,822.5,221.18
905,1.0,item,5824.0,5824.0,0.25,1456.0,1874.39,January,409.36,683.66,592.7,287.95
907,1.0,item,19585.0,19585.0,0.5,9792.5,5219.93,November,4719.61,8631.18,10537.29,7173.98
911,254.0,days,31750.17,125.0,60.0,7500.04,7525.35,November,5114.24,7644.66,8050.62,6061.12
911,254.0,days,31750.17,125.0,60.0,7500.04,813.64,December,5114.24,3217.88,1799.84,2941.06
911,254.0,days,31750.17,125.0,60.0,7500.04,7619.23,January,5114.24,6366.7,6513.53,5025.29
911,254.0,days,31750.17,125.0,56.0,7000.04,6478.02,February,5114.24,5461.14,5389.64,4578.86
C20,10.0,m3,0.0,0.0,10.0,0.0,1035.5,November,5326.7,2747.45,1723.91,3227.39
